Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6266512987660426,0.6339869281045751,0.546,0.7647058823529411,0,0.546
1,0.6120395940892837,0.673202614379085,0.54,0.7647058823529411,1,0.54
2,0.5673550059592801,0.6797385620915033,0.534,0.7058823529411765,2,0.534
3,0.523671778978086,0.7450980392156863,0.549,0.7647058823529411,2,0.534
4,0.4989366350220699,0.7516339869281046,0.547,0.7647058823529411,2,0.534
5,0.4679784209899653,0.7973856209150327,0.491,0.7647058823529411,5,0.491
6,0.47798869383880516,0.7843137254901961,0.513,0.8235294117647058,5,0.491
7,0.44930293669108473,0.8300653594771242,0.525,0.7647058823529411,5,0.491
8,0.3966420382456063,0.8431372549019608,0.516,0.7058823529411765,5,0.491
9,0.3774226144248364,0.8562091503267973,0.511,0.7058823529411765,5,0.491
10,0.4450484728501513,0.803921568627451,0.515,0.8235294117647058,5,0.491
11,0.4302635278577119,0.8431372549019608,0.481,0.7647058823529411,11,0.481
12,0.3566455634590847,0.8562091503267973,0.525,0.6470588235294118,11,0.481
13,0.398056319336486,0.8300653594771242,0.533,0.7647058823529411,11,0.481
14,0.38471689002186643,0.8431372549019608,0.466,0.8235294117647058,14,0.466
15,0.340217653637618,0.8562091503267973,0.495,0.7058823529411765,14,0.466
