Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6347885749688963,0.6696230598669624,0.548,0.77,0,0.548
1,0.5684676903182281,0.7117516629711752,0.518,0.78,1,0.518
2,0.5646853123826621,0.7062084257206208,0.515,0.78,2,0.515
3,0.5613246024183582,0.7084257206208425,0.508,0.76,3,0.508
4,0.5645795173100516,0.7172949002217295,0.503,0.76,4,0.503
5,0.5542264985800318,0.7272727272727273,0.51,0.8,4,0.503
6,0.5513445944453026,0.7161862527716186,0.516,0.78,4,0.503
7,0.5537423416806959,0.7195121951219512,0.511,0.81,4,0.503
8,0.548780311237682,0.729490022172949,0.497,0.81,8,0.497
9,0.5536784497306511,0.7228381374722838,0.503,0.81,8,0.497
10,0.5360409269840384,0.7361419068736141,0.498,0.79,8,0.497
