Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.7219613171091267,0.5163398692810458,0.599,0.75,0,0.599
1,0.6309507508683049,0.6601307189542484,0.583,0.75,1,0.583
2,0.5999488242311415,0.6601307189542484,0.56,0.8125,2,0.56
3,0.5612633987969043,0.7189542483660131,0.593,0.6875,2,0.56
4,0.5100603442566067,0.8235294117647058,0.625,0.625,2,0.56
5,0.47102563560398575,0.7973856209150327,0.662,0.6875,2,0.56
6,0.4551577817380818,0.7973856209150327,0.649,0.625,2,0.56
7,0.46202682124243843,0.7843137254901961,0.595,0.6875,2,0.56
8,0.5492675133000792,0.7254901960784313,0.549,0.75,8,0.549
9,0.4645912222612917,0.7843137254901961,0.591,0.6875,8,0.549
10,0.48535838781618607,0.8104575163398693,0.608,0.6875,8,0.549
11,0.43286417434418123,0.8235294117647058,0.659,0.6875,8,0.549
12,0.42177678985533373,0.8300653594771242,0.656,0.75,8,0.549
13,0.4622229037721173,0.8169934640522876,0.642,0.6875,8,0.549
14,0.43867744982632156,0.7973856209150327,0.71,0.625,8,0.549
15,0.4936556609627468,0.7973856209150327,0.569,0.75,8,0.549
16,0.4433004595095815,0.8104575163398693,0.6,0.6875,8,0.549
17,0.4654344030065474,0.8169934640522876,0.587,0.6875,8,0.549
18,0.405699647719564,0.8235294117647058,0.61,0.6875,8,0.549
19,0.39349178648462485,0.8431372549019608,0.573,0.8125,8,0.549
20,0.39767296641480687,0.8758169934640523,0.654,0.6875,8,0.549
21,0.3782009840790742,0.8431372549019608,0.576,0.75,8,0.549
22,0.4193895657857259,0.8366013071895425,0.592,0.6875,8,0.549
23,0.37272247613645065,0.8496732026143791,0.566,0.8125,8,0.549
24,0.40812476943520937,0.8823529411764706,0.58,0.6875,8,0.549
25,0.3652384698001388,0.8496732026143791,0.548,0.8125,25,0.548
26,0.40407726304983,0.869281045751634,0.591,0.6875,25,0.548
27,0.35896310755629945,0.8496732026143791,0.535,0.8125,27,0.535
28,0.39908259912253985,0.869281045751634,0.573,0.6875,27,0.535
29,0.3564519048516267,0.8562091503267973,0.528,0.8125,29,0.528
30,0.3909779640973783,0.8758169934640523,0.573,0.6875,29,0.528
31,0.3520035453481612,0.8562091503267973,0.516,0.8125,31,0.516
32,0.38492106690126304,0.8823529411764706,0.57,0.6875,31,0.516
