Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.6918647760659261,0.5032679738562091,0.668,0.75,0,0.668
1,0.6656030521673315,0.6601307189542484,0.572,0.75,1,0.572
2,0.6341887163180931,0.6601307189542484,0.595,0.75,1,0.572
3,0.6360248377899719,0.6601307189542484,0.587,0.75,1,0.572
4,0.628083862510382,0.6601307189542484,0.568,0.75,4,0.568
5,0.6027588045674991,0.6601307189542484,0.654,0.625,4,0.568
6,0.6183932330094132,0.6862745098039216,0.593,0.625,4,0.568
7,0.5657830748682707,0.7124183006535948,0.523,0.75,7,0.523
8,0.5565041272468816,0.7189542483660131,0.652,0.5625,7,0.523
9,0.5635339584615495,0.6535947712418301,0.499,0.75,9,0.499
10,0.5735109460120108,0.738562091503268,0.509,0.625,9,0.499
11,0.5128867885256125,0.7450980392156863,0.612,0.5625,9,0.499
12,0.5485286654210558,0.6601307189542484,0.496,0.75,12,0.496
13,0.5069197659788568,0.7450980392156863,0.586,0.6875,12,0.496
14,0.5235490691817664,0.7189542483660131,0.535,0.625,12,0.496
15,0.5113309582853629,0.7320261437908496,0.496,0.6875,12,0.496
16,0.4675387670012081,0.7712418300653595,0.706,0.5625,12,0.496
17,0.5472846794751735,0.6993464052287581,0.473,0.75,17,0.473
18,0.43989667004229976,0.8300653594771242,0.627,0.6875,17,0.473
19,0.5306559629689634,0.7189542483660131,0.503,0.6875,17,0.473
20,0.4507197443566291,0.7908496732026143,0.726,0.6875,17,0.473
21,0.5070188427283093,0.7450980392156863,0.59,0.6875,17,0.473
22,0.4492044705970615,0.7973856209150327,0.791,0.625,17,0.473
23,0.5087825429984947,0.7647058823529411,0.484,0.75,17,0.473
24,0.44774122273220734,0.7973856209150327,0.598,0.75,17,0.473
25,0.47219908334850486,0.7777777777777778,0.505,0.75,17,0.473
26,0.4746666200020734,0.7647058823529411,0.534,0.6875,17,0.473
27,0.4410912256225262,0.8300653594771242,0.627,0.8125,17,0.473
28,0.4782934747879801,0.7843137254901961,0.579,0.6875,17,0.473
29,0.42469070842063505,0.803921568627451,0.73,0.625,17,0.473
30,0.4817555515594732,0.7712418300653595,0.532,0.8125,17,0.473
31,0.44240311937394483,0.7973856209150327,0.485,0.75,17,0.473
32,0.45956764384812,0.8104575163398693,0.577,0.75,17,0.473
33,0.4324962812311509,0.8235294117647058,0.459,0.875,33,0.459
34,0.41455396230703867,0.803921568627451,0.54,0.8125,33,0.459
35,0.4109463157996633,0.8104575163398693,0.56,0.8125,33,0.459
36,0.430187834049362,0.8235294117647058,0.626,0.75,33,0.459
37,0.41715967363002254,0.803921568627451,0.428,0.875,37,0.428
38,0.37717905582166183,0.8431372549019608,0.41,0.8125,38,0.41
39,0.4071488183697844,0.8496732026143791,0.712,0.6875,38,0.41
40,0.4922644873849707,0.7581699346405228,0.842,0.5,38,0.41
41,0.5834390994380502,0.673202614379085,0.461,0.75,38,0.41
42,0.5076367714825798,0.7647058823529411,0.631,0.6875,38,0.41
43,0.4504650455284742,0.8104575163398693,0.771,0.75,38,0.41
44,0.5079488296524372,0.803921568627451,0.509,0.6875,38,0.41
45,0.4520234290291281,0.7843137254901961,0.483,0.6875,38,0.41
46,0.4180164592328414,0.8300653594771242,0.59,0.8125,38,0.41
47,0.43755562028853723,0.8235294117647058,0.507,0.8125,38,0.41
48,0.41849442381484836,0.8300653594771242,0.526,0.8125,38,0.41
49,0.41425271614704257,0.8300653594771242,0.436,0.8125,38,0.41
50,0.4036046591849109,0.8300653594771242,0.449,0.8125,38,0.41
51,0.39377443385280037,0.8431372549019608,0.47,0.8125,38,0.41
52,0.39141348082255695,0.8431372549019608,0.484,0.8125,38,0.41
53,0.38499469227261013,0.8431372549019608,0.489,0.8125,38,0.41
54,0.3847000314519296,0.8496732026143791,0.493,0.8125,38,0.41
55,0.38440177818528964,0.8562091503267973,0.492,0.8125,38,0.41
