Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.6936482354706409,0.47058823529411764,0.564,0.75,0,0.564
1,0.6158027477513731,0.6601307189542484,0.649,0.5625,0,0.564
2,0.6318917777024063,0.6601307189542484,0.574,0.75,0,0.564
3,0.5960526026152317,0.6862745098039216,0.561,0.75,3,0.561
4,0.5686659197402156,0.7124183006535948,0.621,0.625,3,0.561
5,0.5741085745150747,0.6797385620915033,0.588,0.625,3,0.561
6,0.5532171663895152,0.673202614379085,0.59,0.6875,3,0.561
7,0.5335472892312443,0.6993464052287581,0.633,0.625,3,0.561
8,0.5372923826859668,0.7124183006535948,0.574,0.625,3,0.561
9,0.5123985657115387,0.7450980392156863,0.59,0.5625,3,0.561
10,0.5035750684784908,0.7450980392156863,0.595,0.625,3,0.561
11,0.5034917766362234,0.7450980392156863,0.594,0.6875,3,0.561
12,0.4868236860029059,0.7647058823529411,0.6,0.6875,3,0.561
13,0.48703796255822274,0.7908496732026143,0.577,0.75,3,0.561
14,0.4726603387617597,0.7843137254901961,0.593,0.75,3,0.561
15,0.4769181996778725,0.7647058823529411,0.596,0.75,3,0.561
16,0.46852609632061976,0.7973856209150327,0.592,0.75,3,0.561
17,0.4677436622529248,0.7843137254901961,0.585,0.75,3,0.561
18,0.4578348314450457,0.7777777777777778,0.581,0.75,3,0.561
19,0.4564371005771986,0.7777777777777778,0.581,0.8125,3,0.561
20,0.4488314203187531,0.803921568627451,0.548,0.8125,20,0.548
21,0.4400297993538426,0.7973856209150327,0.57,0.8125,20,0.548
22,0.4379551455475926,0.8104575163398693,0.527,0.8125,22,0.527
23,0.4226112860480165,0.803921568627451,0.538,0.8125,22,0.527
24,0.42409972953640557,0.8104575163398693,0.535,0.8125,22,0.527
25,0.4113173293911554,0.8235294117647058,0.49,0.8125,25,0.49
26,0.4033256636725532,0.8104575163398693,0.521,0.8125,25,0.49
27,0.3967718707969765,0.8300653594771242,0.491,0.8125,25,0.49
28,0.38736576134083317,0.8104575163398693,0.475,0.75,28,0.475
29,0.37610898084110683,0.8366013071895425,0.464,0.875,29,0.464
30,0.3721988534226137,0.8431372549019608,0.456,0.8125,30,0.456
31,0.36868423905247955,0.8431372549019608,0.494,0.8125,30,0.456
32,0.3759344407156402,0.8366013071895425,0.547,0.8125,30,0.456
33,0.3787877847945768,0.8300653594771242,0.428,0.875,33,0.428
34,0.39737458088818717,0.7908496732026143,0.396,0.75,34,0.396
35,0.4402669185127308,0.8366013071895425,0.572,0.75,34,0.396
36,0.4109930565544203,0.8366013071895425,0.38,0.75,36,0.38
37,0.3493427764746099,0.869281045751634,0.521,0.8125,36,0.38
38,0.36751668398676357,0.8431372549019608,0.39,0.875,36,0.38
39,0.3523653494376762,0.8627450980392157,0.447,0.8125,36,0.38
40,0.35378824710066803,0.8366013071895425,0.444,0.875,36,0.38
41,0.32801076360777315,0.869281045751634,0.365,0.875,41,0.365
42,0.3432602072073743,0.8496732026143791,0.491,0.8125,41,0.365
43,0.3331748839297326,0.8366013071895425,0.389,0.8125,41,0.365
44,0.3141533289275138,0.869281045751634,0.316,0.875,44,0.316
45,0.31710363525191165,0.8627450980392157,0.421,0.8125,44,0.316
46,0.3148285123257855,0.8366013071895425,0.512,0.8125,44,0.316
