Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.7033980667980668,0.5882352941176471,0.435,0.875,0,0.435
1,0.643834645452063,0.6666666666666666,0.453,0.875,0,0.435
2,0.6367257962039873,0.6666666666666666,0.494,0.875,0,0.435
3,0.6288582842334424,0.6666666666666666,0.477,0.875,0,0.435
4,0.6236941845588435,0.6666666666666666,0.454,0.875,0,0.435
5,0.6214432712473901,0.6666666666666666,0.451,0.875,0,0.435
6,0.6105912869272668,0.6666666666666666,0.447,0.875,0,0.435
7,0.585393776301465,0.6666666666666666,0.404,0.875,7,0.404
8,0.5583448893104503,0.6601307189542484,0.474,0.75,7,0.404
9,0.5279745790693495,0.7450980392156863,0.519,0.6875,7,0.404
10,0.5180710207403095,0.7581699346405228,0.362,0.875,10,0.362
11,0.528799526831683,0.7516339869281046,0.44,0.8125,10,0.362
12,0.509413635808658,0.7320261437908496,0.451,0.75,10,0.362
13,0.5076080599641488,0.7777777777777778,0.327,0.8125,13,0.327
14,0.5191414671785691,0.738562091503268,0.269,0.9375,14,0.269
15,0.5020814931470584,0.738562091503268,0.377,0.8125,14,0.269
16,0.4687758372500052,0.7647058823529411,0.551,0.6875,14,0.269
17,0.4946744231616749,0.7516339869281046,0.513,0.8125,14,0.269
18,0.4959743112520455,0.7581699346405228,0.25,1.0,18,0.25
19,0.5107147685842577,0.7712418300653595,0.245,0.9375,19,0.245
20,0.46614300464492997,0.7581699346405228,0.517,0.75,19,0.245
21,0.46467273258695413,0.7843137254901961,0.352,0.875,19,0.245
22,0.45566382614615697,0.8366013071895425,0.227,1.0,22,0.227
23,0.4489271331067179,0.7777777777777778,0.245,0.9375,22,0.227
24,0.4107784402915855,0.8169934640522876,0.351,0.8125,22,0.227
25,0.513961563118143,0.7843137254901961,1.416,0.125,22,0.227
26,0.8519512763599945,0.46405228758169936,0.28,0.875,22,0.227
27,0.667553242904688,0.6666666666666666,0.368,0.875,22,0.227
28,0.5911846694603465,0.673202614379085,0.573,0.9375,22,0.227
29,0.6120010263779584,0.7516339869281046,0.531,0.875,22,0.227
30,0.5758930666773927,0.7058823529411765,0.402,0.875,22,0.227
31,0.5757386871412689,0.6666666666666666,0.368,0.875,22,0.227
32,0.570818649397956,0.673202614379085,0.423,0.8125,22,0.227
33,0.5431145675042096,0.6993464052287581,0.496,0.75,22,0.227
34,0.530043698214238,0.7450980392156863,0.426,0.75,22,0.227
35,0.5134732785567738,0.7254901960784313,0.403,0.75,22,0.227
36,0.5039244118858787,0.7516339869281046,0.495,0.6875,22,0.227
37,0.5066202232261109,0.7320261437908496,0.444,0.75,22,0.227
38,0.4939168457891427,0.7908496732026143,0.371,0.875,22,0.227
39,0.4865003964480232,0.7777777777777778,0.416,0.875,22,0.227
40,0.4854302655637654,0.7908496732026143,0.339,1.0,22,0.227
41,0.47298796835288504,0.7516339869281046,0.355,0.875,22,0.227
42,0.4654923583946976,0.7908496732026143,0.3,1.0,22,0.227
43,0.4476231054153318,0.7843137254901961,0.442,0.8125,22,0.227
44,0.45938659318132335,0.7777777777777778,0.453,0.8125,22,0.227
45,0.4636976130647597,0.7908496732026143,0.343,0.8125,22,0.227
46,0.43958517597391716,0.8104575163398693,0.279,0.9375,22,0.227
47,0.41850343560860825,0.8300653594771242,0.282,0.9375,22,0.227
48,0.4047902121263392,0.8235294117647058,0.443,0.8125,22,0.227
49,0.4307474147260579,0.803921568627451,0.693,0.5625,22,0.227
50,0.48503955205281574,0.7647058823529411,0.209,0.9375,50,0.209
51,0.4570455167418212,0.7908496732026143,0.311,0.875,50,0.209
52,0.4403570119072409,0.8169934640522876,0.25,0.9375,50,0.209
53,0.424044651533264,0.803921568627451,0.349,0.875,50,0.209
54,0.41721054931092105,0.8366013071895425,0.218,0.9375,50,0.209
55,0.42837492508046765,0.8235294117647058,0.423,0.875,50,0.209
56,0.4179261654031043,0.8300653594771242,0.188,1.0,56,0.188
57,0.41153406765725875,0.8104575163398693,0.489,0.8125,56,0.188
58,0.4170358180999756,0.8235294117647058,0.189,0.9375,56,0.188
59,0.3990737312759449,0.8366013071895425,0.434,0.8125,56,0.188
60,0.40596571798418085,0.8169934640522876,0.196,0.9375,56,0.188
61,0.3837876103672327,0.8235294117647058,0.399,0.875,56,0.188
62,0.3922622295376522,0.8366013071895425,0.216,0.9375,56,0.188
63,0.37223366117165757,0.8366013071895425,0.306,0.875,56,0.188
64,0.3737870875526877,0.8627450980392157,0.298,0.875,56,0.188
65,0.3718068788643756,0.8562091503267973,0.246,0.9375,56,0.188
66,0.3552200237130807,0.8496732026143791,0.34,0.875,56,0.188
67,0.36501139460825455,0.8496732026143791,0.343,0.8125,56,0.188
68,0.37399569562837187,0.8366013071895425,0.273,0.9375,56,0.188
69,0.36259501081666135,0.8431372549019608,0.278,0.9375,56,0.188
70,0.3465755663666071,0.8627450980392157,0.395,0.8125,56,0.188
71,0.3669939905989404,0.8431372549019608,0.416,0.75,56,0.188
72,0.38229311700739893,0.8235294117647058,0.274,0.875,56,0.188
73,0.38238237009328957,0.8235294117647058,0.233,0.875,56,0.188
74,0.3541616848091674,0.8431372549019608,0.352,0.8125,56,0.188
75,0.3572244044222863,0.8431372549019608,0.456,0.75,56,0.188
76,0.3966848972965689,0.803921568627451,0.228,0.875,56,0.188
77,0.38875249456736,0.8235294117647058,0.272,0.9375,56,0.188
78,0.383203411803526,0.8627450980392157,0.336,0.9375,56,0.188
79,0.38329416513442993,0.8627450980392157,0.233,0.8125,56,0.188
80,0.3845564158134211,0.8104575163398693,0.392,0.875,56,0.188
81,0.36874860700439005,0.8496732026143791,0.303,0.875,56,0.188
82,0.34735799556464153,0.8627450980392157,0.252,0.9375,56,0.188
83,0.33714664508314696,0.8562091503267973,0.295,0.875,56,0.188
84,0.3555774735469444,0.8562091503267973,0.235,0.875,56,0.188
85,0.3403466110135995,0.8627450980392157,0.362,0.875,56,0.188
86,0.3411124845345815,0.8496732026143791,0.364,0.8125,56,0.188
87,0.3503606971962,0.8431372549019608,0.284,0.875,56,0.188
88,0.3530360997891894,0.8366013071895425,0.292,0.875,56,0.188
89,0.3310633560800864,0.869281045751634,0.406,0.75,56,0.188
90,0.3578144561231526,0.8496732026143791,0.317,0.8125,56,0.188
91,0.3745077649752299,0.8496732026143791,0.285,0.9375,56,0.188
92,0.33392401068818334,0.8562091503267973,0.439,0.75,56,0.188
93,0.3466900493584427,0.8300653594771242,0.306,0.8125,56,0.188
94,0.3925460498122608,0.8431372549019608,0.263,0.875,56,0.188
95,0.3521578025584127,0.8366013071895425,0.488,0.8125,56,0.188
96,0.3615521087365992,0.8300653594771242,0.265,0.875,56,0.188
97,0.3709807727071974,0.8496732026143791,0.288,0.875,56,0.188
98,0.33256953798867517,0.8627450980392157,0.372,0.875,56,0.188
99,0.34359758741715374,0.8431372549019608,0.269,0.875,56,0.188
100,0.3234481375201855,0.8627450980392157,0.314,0.875,56,0.188
101,0.3215905398714776,0.8758169934640523,0.334,0.875,56,0.188
102,0.3153145936579486,0.8758169934640523,0.306,0.875,56,0.188
103,0.31430185006724465,0.8758169934640523,0.371,0.8125,56,0.188
104,0.3131424024019366,0.8431372549019608,0.326,0.9375,56,0.188
105,0.3083296564279818,0.869281045751634,0.37,0.8125,56,0.188
106,0.3109691044668746,0.8627450980392157,0.342,0.8125,56,0.188
107,0.30840494517796957,0.8627450980392157,0.375,0.8125,56,0.188
