Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6817462548121318,0.56996996996997,0.7,0.5636856368563685,0,0.7
1,0.6710781937962895,0.5867867867867868,0.681,0.5962059620596206,1,0.681
2,0.658914385776262,0.606906906906907,0.68,0.5880758807588076,2,0.68
3,0.6518600484272381,0.6189189189189189,0.678,0.6070460704607046,3,0.678
4,0.6421388405579347,0.6276276276276276,0.675,0.6043360433604336,4,0.675
5,0.6492420313236592,0.6201201201201201,0.663,0.6043360433604336,5,0.663
6,0.6287769682056553,0.6453453453453454,0.657,0.5989159891598916,6,0.657
7,0.6244595812605666,0.6552552552552553,0.66,0.6151761517615176,6,0.657
8,0.6211604416191399,0.6513513513513514,0.643,0.6287262872628726,8,0.643
9,0.60580943815701,0.6693693693693694,0.621,0.6395663956639567,9,0.621
10,0.6022644286399131,0.6720720720720721,0.681,0.6205962059620597,9,0.621
11,0.6214315756305202,0.6603603603603604,0.653,0.6368563685636857,9,0.621
12,0.6012739398457982,0.669069069069069,0.631,0.6422764227642277,9,0.621
13,0.5827313021317616,0.6966966966966966,0.603,0.6775067750677507,13,0.603
14,0.574333718875507,0.7048048048048048,0.643,0.6558265582655827,13,0.603
15,0.5824226213289094,0.7069069069069069,0.591,0.6639566395663956,15,0.591
16,0.5700656559732226,0.7093093093093094,0.61,0.6558265582655827,15,0.591
17,0.5665292603833539,0.7123123123123123,0.596,0.6775067750677507,15,0.591
18,0.5552675294446515,0.7210210210210211,0.604,0.6775067750677507,15,0.591
19,0.5572314156426323,0.7207207207207207,0.576,0.6883468834688347,19,0.576
20,0.5476831625710736,0.7231231231231231,0.572,0.6883468834688347,20,0.572
21,0.5404202184698603,0.7327327327327328,0.586,0.6856368563685636,20,0.572
22,0.5380061585623939,0.733033033033033,0.563,0.6937669376693767,22,0.563
23,0.5305303690132794,0.7387387387387387,0.564,0.6937669376693767,22,0.563
24,0.5306163052717845,0.7402402402402403,0.563,0.6964769647696477,22,0.563
25,0.5222609703247254,0.7411411411411412,0.542,0.6991869918699187,25,0.542
26,0.5157728728589352,0.7453453453453454,0.544,0.7046070460704607,25,0.542
27,0.5168887967998917,0.7444444444444445,0.547,0.6964769647696477,25,0.542
28,0.5088554426714464,0.7567567567567568,0.546,0.6991869918699187,25,0.542
29,0.5054246491498059,0.7534534534534535,0.556,0.7046070460704607,25,0.542
30,0.49946582792578514,0.7594594594594595,0.552,0.7127371273712737,25,0.542
31,0.49357448930854914,0.7612612612612613,0.555,0.7073170731707317,25,0.542
32,0.4894987623254816,0.7618618618618619,0.597,0.7154471544715447,25,0.542
33,0.48779830070766245,0.7642642642642643,0.638,0.7181571815718157,25,0.542
34,0.49582971299553774,0.763063063063063,0.558,0.7100271002710027,25,0.542
35,0.48625428542360527,0.7657657657657657,0.552,0.7018970189701897,25,0.542
36,0.4779670814136127,0.7738738738738739,0.579,0.7127371273712737,25,0.542
37,0.48472679207722347,0.7702702702702703,0.572,0.7073170731707317,25,0.542
38,0.4751789071404182,0.7741741741741742,0.562,0.6991869918699187,25,0.542
39,0.47047034862252685,0.7711711711711712,0.576,0.7262872628726287,25,0.542
40,0.4711344859621546,0.7723723723723723,0.596,0.7100271002710027,25,0.542
41,0.46661677244189265,0.7792792792792793,0.593,0.7100271002710027,25,0.542
42,0.4648681871212639,0.7756756756756756,0.609,0.7018970189701897,25,0.542
43,0.46204287578930725,0.7783783783783784,0.601,0.6964769647696477,25,0.542
44,0.45625094859091725,0.7804804804804805,0.622,0.6937669376693767,25,0.542
45,0.4564472578219823,0.7846846846846847,0.585,0.7100271002710027,25,0.542
46,0.45424085450065027,0.784984984984985,0.644,0.7046070460704607,25,0.542
47,0.4532682941751079,0.7855855855855856,0.643,0.7018970189701897,25,0.542
48,0.44652720571190746,0.7903903903903904,0.663,0.7181571815718157,25,0.542
49,0.4560022756144091,0.7882882882882883,0.573,0.7100271002710027,25,0.542
50,0.44946564768885705,0.7861861861861862,0.583,0.6937669376693767,25,0.542
51,0.4608194310609643,0.7894894894894895,0.567,0.7127371273712737,25,0.542
52,0.4349276303797513,0.7993993993993994,0.564,0.7181571815718157,25,0.542
53,0.42493032662270663,0.8036036036036036,0.572,0.7262872628726287,25,0.542
54,0.4204178506301509,0.8066066066066067,0.573,0.7317073170731707,25,0.542
55,0.4157154528765349,0.809009009009009,0.575,0.7289972899728997,25,0.542
56,0.4119655274235092,0.8102102102102102,0.577,0.7289972899728997,25,0.542
57,0.40771381931530465,0.8123123123123123,0.581,0.7344173441734417,25,0.542
58,0.4040855171891662,0.8177177177177177,0.586,0.7317073170731707,25,0.542
59,0.4012924852515305,0.8201201201201201,0.587,0.7344173441734417,25,0.542
60,0.3978814492802004,0.821021021021021,0.595,0.7262872628726287,25,0.542
61,0.39496528258373786,0.8225225225225226,0.592,0.7344173441734417,25,0.542
62,0.39130405759377346,0.8231231231231231,0.599,0.7317073170731707,25,0.542
63,0.38685379827747474,0.8261261261261261,0.6,0.7289972899728997,25,0.542
64,0.38599185259626795,0.824924924924925,0.605,0.7262872628726287,25,0.542
65,0.38137576325318295,0.8273273273273273,0.6,0.7181571815718157,25,0.542
66,0.3781744297761638,0.8318318318318318,0.602,0.7154471544715447,25,0.542
67,0.3741884925343969,0.8339339339339339,0.605,0.7235772357723578,25,0.542
68,0.3712681552523876,0.8363363363363363,0.603,0.7208672086720868,25,0.542
69,0.3692089989803754,0.8375375375375376,0.607,0.7208672086720868,25,0.542
70,0.3662494265068848,0.8387387387387387,0.613,0.7208672086720868,25,0.542
71,0.36303212854888167,0.8393393393393394,0.614,0.7208672086720868,25,0.542
72,0.3602637954458997,0.8423423423423423,0.616,0.7235772357723578,25,0.542
73,0.3592115255469853,0.8408408408408409,0.613,0.7127371273712737,25,0.542
74,0.3571203137090704,0.83993993993994,0.618,0.7208672086720868,25,0.542
75,0.3557445803092228,0.8450450450450451,0.61,0.7181571815718157,25,0.542
76,0.35293420404195786,0.8426426426426427,0.645,0.7073170731707317,25,0.542
77,0.35646279658730684,0.8408408408408409,0.642,0.7073170731707317,25,0.542
78,0.35418598923451816,0.8435435435435436,0.635,0.7127371273712737,25,0.542
79,0.3586613050530533,0.8426426426426427,0.641,0.7046070460704607,25,0.542
80,0.3595122014471629,0.8396396396396396,0.646,0.7154471544715447,25,0.542
81,0.34899636673497725,0.8429429429429429,0.676,0.7073170731707317,25,0.542
82,0.3498093316918826,0.8456456456456456,0.641,0.7317073170731707,25,0.542
83,0.3526276712068119,0.8477477477477477,0.633,0.7344173441734417,25,0.542
84,0.3475636433619816,0.8489489489489489,0.643,0.7154471544715447,25,0.542
85,0.3446949547151098,0.8465465465465466,0.718,0.7046070460704607,25,0.542
86,0.3571887819336968,0.8441441441441442,0.62,0.6991869918699187,25,0.542
87,0.34109577671498864,0.8537537537537537,0.67,0.7100271002710027,25,0.542
88,0.3356518763679642,0.8543543543543544,0.655,0.7154471544715447,25,0.542
89,0.331896543562099,0.8561561561561561,0.653,0.7154471544715447,25,0.542
90,0.33201948155288225,0.8558558558558559,0.638,0.7371273712737128,25,0.542
91,0.33344924353935695,0.857057057057057,0.653,0.7262872628726287,25,0.542
92,0.3297481330419267,0.8576576576576577,0.656,0.7208672086720868,25,0.542
93,0.3235315649918429,0.8606606606606607,0.662,0.7289972899728997,25,0.542
94,0.3187344674088128,0.8639639639639639,0.666,0.7154471544715447,25,0.542
95,0.31545165424031,0.8642642642642643,0.69,0.7046070460704607,25,0.542
96,0.31112441892704895,0.8651651651651652,0.696,0.7181571815718157,25,0.542
97,0.3081872057729029,0.8690690690690691,0.712,0.7235772357723578,25,0.542
98,0.3046396928618441,0.8708708708708709,0.731,0.7154471544715447,25,0.542
99,0.30135545194842617,0.8735735735735736,0.743,0.7154471544715447,25,0.542
100,0.30914039735097787,0.8696696696696696,0.738,0.7073170731707317,25,0.542
101,0.2990589960704784,0.8765765765765766,0.722,0.7289972899728997,25,0.542
102,0.29129484685825874,0.8786786786786787,0.713,0.7235772357723578,25,0.542
103,0.28624196131420027,0.8822822822822823,0.712,0.7289972899728997,25,0.542
104,0.2852945633657702,0.8828828828828829,0.717,0.7289972899728997,25,0.542
105,0.28216738041389633,0.8846846846846846,0.752,0.7289972899728997,25,0.542
106,0.27650046629143193,0.8891891891891892,0.773,0.7344173441734417,25,0.542
107,0.27378708467939056,0.8897897897897898,0.781,0.7289972899728997,25,0.542
108,0.27029318067080177,0.8918918918918919,0.79,0.7262872628726287,25,0.542
109,0.26779333471121997,0.8918918918918919,0.794,0.7371273712737128,25,0.542
110,0.2656070859280524,0.893993993993994,0.795,0.7371273712737128,25,0.542
111,0.2631087074268822,0.8945945945945946,0.797,0.7344173441734417,25,0.542
112,0.26033281933561014,0.8957957957957958,0.799,0.7344173441734417,25,0.542
113,0.2577329818573263,0.8972972972972973,0.801,0.7344173441734417,25,0.542
114,0.255498469866499,0.8963963963963963,0.807,0.7371273712737128,25,0.542
115,0.25322902266931785,0.8990990990990991,0.808,0.7344173441734417,25,0.542
116,0.25123299466048904,0.8981981981981982,0.814,0.7317073170731707,25,0.542
117,0.24930496044210843,0.8987987987987988,0.811,0.7371273712737128,25,0.542
118,0.24750904597834245,0.9006006006006007,0.814,0.7371273712737128,25,0.542
119,0.2453204699671707,0.9012012012012012,0.823,0.7371273712737128,25,0.542
120,0.24336783244322102,0.9018018018018018,0.826,0.7317073170731707,25,0.542
121,0.2414429754192183,0.9024024024024024,0.839,0.7317073170731707,25,0.542
122,0.23971167288429746,0.9039039039039038,0.845,0.7398373983739838,25,0.542
123,0.23785259210568918,0.9033033033033033,0.851,0.7344173441734417,25,0.542
124,0.23660970539324455,0.9048048048048049,0.852,0.7398373983739838,25,0.542
125,0.23562124516904442,0.9033033033033033,0.861,0.7344173441734417,25,0.542
126,0.23469561762805727,0.9027027027027027,0.843,0.7425474254742548,25,0.542
127,0.23704481402205096,0.9045045045045045,0.842,0.7371273712737128,25,0.542
128,0.23835693915785702,0.9018018018018018,0.812,0.7398373983739838,25,0.542
129,0.24188037875133592,0.9024024024024024,0.841,0.7371273712737128,25,0.542
130,0.23753735789296415,0.9021021021021021,0.907,0.7317073170731707,25,0.542
131,0.22980716808310322,0.9075075075075075,0.894,0.7181571815718157,25,0.542
132,0.2269251926301478,0.9096096096096096,0.895,0.7317073170731707,25,0.542
133,0.22466649214734322,0.9108108108108108,0.896,0.7344173441734417,25,0.542
