Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.610806621073618,0.6803551609322974,0.576,0.66,0,0.576
1,0.5533726761793587,0.7258601553829079,0.552,0.71,1,0.552
2,0.5379628103296712,0.7425083240843507,0.524,0.76,2,0.524
3,0.527531171165878,0.7402885682574917,0.525,0.75,2,0.524
4,0.5215634948736291,0.7413984461709212,0.523,0.76,4,0.523
5,0.5172008169974127,0.7413984461709212,0.521,0.76,5,0.521
6,0.5146016243361474,0.7502774694783574,0.519,0.74,6,0.519
7,0.51510611606491,0.7491675915649278,0.526,0.72,6,0.519
8,0.5144015978959768,0.7502774694783574,0.53,0.71,6,0.519
9,0.5153119904418103,0.7524972253052165,0.531,0.71,6,0.519
10,0.5157340083283669,0.7491675915649278,0.535,0.71,6,0.519
11,0.5175826494456925,0.7469478357380688,0.538,0.7,6,0.519
12,0.5206258900786082,0.7413984461709212,0.537,0.7,6,0.519
13,0.5262927562494522,0.7447280799112098,0.524,0.72,6,0.519
14,0.5286585825198763,0.7436182019977803,0.505,0.77,14,0.505
15,0.528325499493327,0.7380688124306326,0.488,0.79,15,0.488
16,0.5195318653468419,0.7469478357380688,0.487,0.78,16,0.487
17,0.5206333256091976,0.7480577136514983,0.486,0.78,17,0.486
18,0.5152911691203895,0.753607103218646,0.488,0.77,17,0.486
19,0.513250965405913,0.7591564927857936,0.486,0.78,17,0.486
20,0.5134444569674766,0.755826859045505,0.483,0.77,20,0.483
21,0.5109082461561135,0.7602663706992231,0.486,0.77,20,0.483
22,0.5119686236855192,0.758046614872364,0.483,0.77,20,0.483
23,0.510704294128238,0.7602663706992231,0.486,0.77,20,0.483
24,0.5116487192393143,0.7547169811320755,0.489,0.77,20,0.483
25,0.5103671113142825,0.7569367369589345,0.487,0.79,20,0.483
26,0.5088709138176682,0.753607103218646,0.486,0.77,20,0.483
27,0.5103132996654405,0.758046614872364,0.484,0.79,20,0.483
28,0.5068917124967331,0.7624861265260822,0.483,0.77,20,0.483
29,0.506849225432706,0.758046614872364,0.484,0.79,20,0.483
30,0.5067497226228724,0.7591564927857936,0.485,0.79,20,0.483
31,0.5067228083142166,0.758046614872364,0.484,0.78,20,0.483
32,0.5067626354796243,0.7591564927857936,0.486,0.8,20,0.483
33,0.5064905943074052,0.7569367369589345,0.483,0.79,20,0.483
34,0.5071416791119137,0.7569367369589345,0.484,0.79,20,0.483
35,0.5049416767836411,0.755826859045505,0.484,0.8,20,0.483
36,0.5061118470114159,0.7602663706992231,0.487,0.77,20,0.483
37,0.5065393211872014,0.7569367369589345,0.486,0.8,20,0.483
38,0.5042697684415569,0.7591564927857936,0.486,0.8,20,0.483
39,0.5018759122600037,0.758046614872364,0.485,0.8,20,0.483
40,0.5025163514004166,0.7591564927857936,0.483,0.78,20,0.483
41,0.5024811428507477,0.7602663706992231,0.489,0.78,20,0.483
42,0.5025102696262639,0.7569367369589345,0.484,0.8,20,0.483
43,0.5010761101787019,0.758046614872364,0.485,0.78,20,0.483
44,0.5018589511331787,0.7569367369589345,0.487,0.78,20,0.483
45,0.5025104576355873,0.7591564927857936,0.484,0.81,20,0.483
46,0.5005322451001399,0.7569367369589345,0.484,0.8,20,0.483
47,0.5000323099513165,0.7602663706992231,0.481,0.78,47,0.481
48,0.5010540625628304,0.7669256381798002,0.483,0.81,47,0.481
49,0.4978189507249193,0.753607103218646,0.485,0.78,47,0.481
50,0.4936195260180485,0.753607103218646,0.496,0.73,47,0.481
51,0.4953417676468933,0.7513873473917869,0.508,0.73,47,0.481
52,0.49756623190992016,0.758046614872364,0.518,0.73,47,0.481
53,0.5027060376585655,0.7469478357380688,0.509,0.74,47,0.481
54,0.5041870830227082,0.7425083240843507,0.518,0.7,47,0.481
55,0.5114964292065285,0.7447280799112098,0.5,0.72,47,0.481
56,0.5031452231051258,0.7491675915649278,0.505,0.72,47,0.481
57,0.5040356129341729,0.7469478357380688,0.49,0.75,47,0.481
58,0.4978287588809095,0.755826859045505,0.506,0.72,47,0.481
59,0.4967040888278783,0.758046614872364,0.486,0.75,47,0.481
60,0.49164043482678316,0.7547169811320755,0.499,0.74,47,0.481
61,0.4902439183916289,0.7635960044395117,0.486,0.76,47,0.481
62,0.48723348824681506,0.7591564927857936,0.492,0.75,47,0.481
63,0.48847260247589347,0.7591564927857936,0.484,0.76,47,0.481
64,0.4869119335921041,0.7547169811320755,0.493,0.76,47,0.481
65,0.4871976902826248,0.755826859045505,0.484,0.78,47,0.481
66,0.4860195141455177,0.7569367369589345,0.494,0.76,47,0.481
67,0.487894026605985,0.7547169811320755,0.487,0.75,47,0.481
68,0.4873905712935028,0.7547169811320755,0.512,0.7,47,0.481
69,0.4896370619039292,0.755826859045505,0.495,0.74,47,0.481
70,0.48963929775618553,0.753607103218646,0.511,0.71,47,0.481
71,0.4924024795983131,0.7502774694783574,0.496,0.73,47,0.481
72,0.4924688877560587,0.7569367369589345,0.513,0.71,47,0.481
73,0.4913067579203255,0.7547169811320755,0.498,0.73,47,0.481
74,0.48781544532416,0.7569367369589345,0.508,0.71,47,0.481
75,0.48860605199977375,0.753607103218646,0.488,0.74,47,0.481
76,0.4893380382184051,0.7569367369589345,0.495,0.72,47,0.481
77,0.48665721600381173,0.7602663706992231,0.487,0.78,47,0.481
78,0.4822060380804949,0.7658157602663707,0.488,0.78,47,0.481
79,0.4817625982779906,0.7591564927857936,0.481,0.75,47,0.481
80,0.48337767856168695,0.7624861265260822,0.486,0.75,47,0.481
81,0.48199946334901844,0.7591564927857936,0.485,0.77,47,0.481
82,0.48022732014595204,0.7569367369589345,0.487,0.78,47,0.481
83,0.4799970051027694,0.7602663706992231,0.481,0.77,47,0.481
84,0.480612345445037,0.7591564927857936,0.479,0.78,84,0.479
85,0.48038866308897105,0.7602663706992231,0.483,0.78,84,0.479
86,0.4789385635170106,0.7624861265260822,0.481,0.76,84,0.479
87,0.47851255225156175,0.7591564927857936,0.485,0.76,84,0.479
88,0.4772017452282858,0.7602663706992231,0.485,0.77,84,0.479
89,0.47727349923135964,0.7591564927857936,0.489,0.74,84,0.479
90,0.4804281357853579,0.7613762486126526,0.484,0.74,84,0.479
91,0.4781452684304558,0.7613762486126526,0.487,0.75,84,0.479
92,0.4779584241098622,0.7613762486126526,0.484,0.75,84,0.479
93,0.4767914783048312,0.7591564927857936,0.483,0.75,84,0.479
94,0.47634365089593267,0.7624861265260822,0.482,0.76,84,0.479
95,0.47415648964745355,0.7624861265260822,0.489,0.74,84,0.479
96,0.47495029435041347,0.7635960044395117,0.492,0.77,84,0.479
97,0.4767381546235376,0.7635960044395117,0.547,0.72,84,0.479
98,0.48037404235406933,0.7647058823529411,0.496,0.78,84,0.479
99,0.4822169061373923,0.7613762486126526,0.493,0.73,84,0.479
100,0.47828818176284876,0.7658157602663707,0.48,0.78,84,0.479
101,0.48630126267175433,0.7602663706992231,0.478,0.79,101,0.478
102,0.47937180169679217,0.7680355160932297,0.486,0.77,101,0.478
103,0.47324665052843146,0.7702552719200888,0.483,0.77,101,0.478
104,0.4740648172241734,0.7702552719200888,0.479,0.79,101,0.478
105,0.4694365631627719,0.7735849056603774,0.479,0.79,101,0.478
106,0.47028235806675256,0.7713651498335183,0.476,0.8,106,0.476
107,0.469674231656119,0.7735849056603774,0.473,0.8,107,0.473
108,0.466925754382396,0.7713651498335183,0.474,0.8,107,0.473
109,0.46664752563943346,0.7735849056603774,0.473,0.8,107,0.473
110,0.46699036953021894,0.7691453940066593,0.476,0.8,107,0.473
111,0.46636593068942644,0.7713651498335183,0.472,0.8,111,0.472
112,0.46652961977975616,0.7746947835738068,0.474,0.8,111,0.472
113,0.4672143554002807,0.7735849056603774,0.474,0.8,111,0.472
114,0.4674978898083595,0.7746947835738068,0.472,0.8,111,0.472
115,0.4658840012537123,0.7780244173140954,0.474,0.8,111,0.472
116,0.46589125934306047,0.7746947835738068,0.47,0.8,116,0.47
117,0.4645554799830477,0.7702552719200888,0.471,0.8,116,0.47
118,0.46428090864823474,0.7691453940066593,0.473,0.8,116,0.47
119,0.4640036259057387,0.7735849056603774,0.475,0.79,116,0.47
120,0.46250044147625613,0.7669256381798002,0.475,0.8,116,0.47
121,0.4614613118284815,0.7658157602663707,0.478,0.8,116,0.47
122,0.4618160802618777,0.7602663706992231,0.478,0.79,116,0.47
123,0.4608419581784657,0.7647058823529411,0.477,0.78,116,0.47
124,0.46229802873337045,0.7624861265260822,0.48,0.77,116,0.47
125,0.46489883873293325,0.7746947835738068,0.479,0.78,116,0.47
126,0.46480296208181077,0.7758046614872364,0.473,0.78,116,0.47
127,0.4659456134702469,0.7758046614872364,0.474,0.79,116,0.47
128,0.4637623869221695,0.779134295227525,0.472,0.8,116,0.47
129,0.46150531387421717,0.7780244173140954,0.471,0.8,116,0.47
130,0.4622071325762423,0.7758046614872364,0.475,0.79,116,0.47
131,0.46109210637777415,0.7746947835738068,0.475,0.79,116,0.47
132,0.4583442400268524,0.7658157602663707,0.477,0.8,116,0.47
133,0.45844497259594624,0.7746947835738068,0.477,0.8,116,0.47
134,0.4575437595623315,0.7735849056603774,0.482,0.79,116,0.47
135,0.4585380294876014,0.7635960044395117,0.479,0.78,116,0.47
136,0.45884365260137966,0.7647058823529411,0.478,0.77,116,0.47
137,0.45984740990248163,0.7713651498335183,0.479,0.78,116,0.47
138,0.45976242679403834,0.7780244173140954,0.474,0.79,116,0.47
139,0.45985763357925363,0.7769145394006659,0.474,0.81,116,0.47
140,0.45909687421893436,0.7780244173140954,0.479,0.78,116,0.47
141,0.45891565038976606,0.781354051054384,0.473,0.79,116,0.47
142,0.4583739432755374,0.7746947835738068,0.475,0.79,116,0.47
143,0.46119067540080116,0.7758046614872364,0.479,0.8,116,0.47
144,0.45620199683206064,0.7824639289678136,0.478,0.79,116,0.47
145,0.4560389756974449,0.7758046614872364,0.48,0.78,116,0.47
146,0.4546329124223908,0.7680355160932297,0.499,0.78,116,0.47
147,0.45684106707506783,0.7669256381798002,0.487,0.77,116,0.47
148,0.455009602465058,0.7658157602663707,0.477,0.79,116,0.47
149,0.4541781897285538,0.7746947835738068,0.473,0.8,116,0.47
150,0.4516283833854868,0.781354051054384,0.479,0.77,116,0.47
151,0.44947456620575715,0.781354051054384,0.474,0.81,116,0.47
152,0.44869276406563874,0.7846836847946725,0.478,0.79,116,0.47
153,0.44801109273412515,0.7802441731409545,0.478,0.8,116,0.47
154,0.44789754370275003,0.7802441731409545,0.478,0.8,116,0.47
155,0.4475316410423251,0.7802441731409545,0.477,0.8,116,0.47
156,0.447445818573468,0.781354051054384,0.479,0.79,116,0.47
157,0.4475990942163552,0.7802441731409545,0.48,0.79,116,0.47
158,0.44716304770518883,0.7824639289678136,0.479,0.8,116,0.47
159,0.4469031219708668,0.7824639289678136,0.479,0.8,116,0.47
160,0.4466810726563753,0.7802441731409545,0.48,0.79,116,0.47
161,0.44667888261568006,0.7824639289678136,0.478,0.81,116,0.47
162,0.4461989978888588,0.7824639289678136,0.479,0.8,116,0.47
163,0.4467147224139294,0.781354051054384,0.481,0.79,116,0.47
164,0.4466384432457396,0.7835738068812431,0.48,0.8,116,0.47
165,0.4458839229238814,0.781354051054384,0.478,0.81,116,0.47
166,0.44568527656939133,0.781354051054384,0.482,0.79,116,0.47
167,0.4453936936984978,0.7835738068812431,0.481,0.8,116,0.47
168,0.4455508099048172,0.7802441731409545,0.477,0.81,116,0.47
169,0.4453417873227107,0.7824639289678136,0.479,0.8,116,0.47
170,0.4455291790418434,0.781354051054384,0.481,0.79,116,0.47
171,0.44531134596212324,0.7835738068812431,0.48,0.81,116,0.47
172,0.4448311095943594,0.7824639289678136,0.479,0.8,116,0.47
173,0.44432841905379267,0.7824639289678136,0.48,0.8,116,0.47
174,0.44437450625324887,0.781354051054384,0.478,0.79,116,0.47
175,0.44414744485628593,0.7835738068812431,0.481,0.8,116,0.47
176,0.44378282769803334,0.7824639289678136,0.479,0.81,116,0.47
177,0.4440839464024751,0.7835738068812431,0.48,0.8,116,0.47
178,0.4442743878071501,0.781354051054384,0.481,0.8,116,0.47
179,0.4434905230800531,0.7835738068812431,0.479,0.81,116,0.47
180,0.44299444891140277,0.7835738068812431,0.48,0.8,116,0.47
181,0.44262593256911215,0.7835738068812431,0.479,0.81,116,0.47
182,0.4426433996242635,0.7846836847946725,0.477,0.8,116,0.47
183,0.4425691519838062,0.7835738068812431,0.479,0.8,116,0.47
184,0.4424600920140677,0.7846836847946725,0.48,0.8,116,0.47
185,0.4426886484308063,0.7824639289678136,0.478,0.8,116,0.47
186,0.4429678163934627,0.7824639289678136,0.481,0.8,116,0.47
187,0.4430374155248971,0.7835738068812431,0.48,0.8,116,0.47
188,0.4420004755457022,0.7846836847946725,0.48,0.81,116,0.47
189,0.44148340607919917,0.7846836847946725,0.479,0.8,116,0.47
190,0.4414535355190855,0.7835738068812431,0.479,0.8,116,0.47
191,0.4416185442966044,0.7835738068812431,0.478,0.8,116,0.47
192,0.4412717316527081,0.7846836847946725,0.482,0.8,116,0.47
193,0.4421403085136916,0.7835738068812431,0.482,0.8,116,0.47
194,0.44186005857954014,0.7824639289678136,0.479,0.81,116,0.47
195,0.441629025245811,0.7869034406215316,0.481,0.8,116,0.47
196,0.4406259180223373,0.7846836847946725,0.478,0.8,116,0.47
197,0.44072842538422935,0.7846836847946725,0.481,0.8,116,0.47
198,0.4407849061105413,0.7835738068812431,0.479,0.81,116,0.47
199,0.4412832601403158,0.7835738068812431,0.483,0.78,116,0.47
200,0.4382884656549426,0.7857935627081021,0.481,0.8,116,0.47
201,0.43789131592930225,0.7880133185349611,0.481,0.8,116,0.47
202,0.4376402140639466,0.7869034406215316,0.48,0.8,116,0.47
203,0.4379158740269886,0.7869034406215316,0.482,0.8,116,0.47
204,0.43736907035178535,0.7869034406215316,0.479,0.8,116,0.47
205,0.4375307754624829,0.7880133185349611,0.482,0.8,116,0.47
206,0.43731328457196994,0.7869034406215316,0.48,0.8,116,0.47
207,0.43735986185589854,0.7880133185349611,0.481,0.8,116,0.47
208,0.4372367105476732,0.7869034406215316,0.48,0.8,116,0.47
209,0.4371041234719105,0.7891231964483907,0.482,0.8,116,0.47
210,0.43700425672478205,0.7869034406215316,0.48,0.8,116,0.47
211,0.43711579579458915,0.7880133185349611,0.481,0.8,116,0.47
212,0.4368079015768064,0.7869034406215316,0.481,0.8,116,0.47
213,0.43686750807389035,0.7880133185349611,0.481,0.8,116,0.47
214,0.43687526843656316,0.7869034406215316,0.481,0.79,116,0.47
215,0.4368434225547062,0.7891231964483907,0.481,0.8,116,0.47
216,0.4366983547889432,0.7869034406215316,0.481,0.8,116,0.47
217,0.4365916170849652,0.7880133185349611,0.482,0.8,116,0.47
218,0.4365392769216565,0.7869034406215316,0.481,0.8,116,0.47
219,0.43684506640417065,0.7880133185349611,0.483,0.79,116,0.47
220,0.4365757574202218,0.7869034406215316,0.481,0.8,116,0.47
221,0.43647041808520254,0.7891231964483907,0.481,0.8,116,0.47
222,0.4361713332734944,0.7869034406215316,0.481,0.8,116,0.47
223,0.43634264710277615,0.7880133185349611,0.482,0.79,116,0.47
224,0.43614779771631224,0.7869034406215316,0.481,0.8,116,0.47
225,0.43646041924065676,0.7880133185349611,0.483,0.79,116,0.47
226,0.4360840079042808,0.7869034406215316,0.481,0.81,116,0.47
227,0.4362296714932223,0.7891231964483907,0.483,0.8,116,0.47
228,0.43564806888489827,0.7880133185349611,0.48,0.8,116,0.47
229,0.43597398480022126,0.7880133185349611,0.482,0.79,116,0.47
230,0.43575145468760806,0.7869034406215316,0.481,0.8,116,0.47
231,0.4360882546525287,0.7880133185349611,0.483,0.79,116,0.47
232,0.43562067043734976,0.7869034406215316,0.481,0.8,116,0.47
233,0.43552756010162974,0.7880133185349611,0.482,0.79,116,0.47
234,0.43542931089126047,0.7869034406215316,0.481,0.79,116,0.47
235,0.43555401850256087,0.7880133185349611,0.483,0.8,116,0.47
236,0.43547721481680474,0.7880133185349611,0.482,0.79,116,0.47
237,0.43548508302683836,0.7880133185349611,0.482,0.8,116,0.47
238,0.4351142215378144,0.7869034406215316,0.481,0.81,116,0.47
239,0.4352126137232542,0.7880133185349611,0.483,0.79,116,0.47
240,0.4350020457948088,0.7869034406215316,0.481,0.81,116,0.47
241,0.4353378240626872,0.7891231964483907,0.483,0.8,116,0.47
242,0.43515243162954026,0.7857935627081021,0.482,0.8,116,0.47
243,0.4349508413860986,0.7891231964483907,0.481,0.81,116,0.47
244,0.4347488256161009,0.7880133185349611,0.483,0.79,116,0.47
245,0.4347926764009928,0.7880133185349611,0.483,0.79,116,0.47
246,0.4348169714873956,0.7869034406215316,0.482,0.8,116,0.47
247,0.43484522263363384,0.7880133185349611,0.482,0.8,116,0.47
248,0.43447723037064007,0.7880133185349611,0.482,0.8,116,0.47
249,0.4345375325171056,0.7880133185349611,0.483,0.8,116,0.47
250,0.4332487987443292,0.7880133185349611,0.483,0.79,116,0.47
251,0.43313624090478897,0.7891231964483907,0.482,0.8,116,0.47
252,0.433091639025296,0.7891231964483907,0.483,0.79,116,0.47
253,0.43309456976616423,0.7880133185349611,0.483,0.79,116,0.47
254,0.43302649277759575,0.7891231964483907,0.483,0.79,116,0.47
255,0.4329644268860298,0.7891231964483907,0.483,0.8,116,0.47
256,0.43296329307470155,0.7891231964483907,0.483,0.79,116,0.47
257,0.4329195661546784,0.7891231964483907,0.483,0.8,116,0.47
258,0.43293461628613805,0.7891231964483907,0.483,0.79,116,0.47
259,0.4329052807620575,0.7880133185349611,0.483,0.8,116,0.47
260,0.43281656424292714,0.7880133185349611,0.483,0.8,116,0.47
261,0.4328426759065719,0.7891231964483907,0.483,0.79,116,0.47
262,0.4327146529853675,0.7891231964483907,0.483,0.79,116,0.47
263,0.43274514300213274,0.7891231964483907,0.483,0.79,116,0.47
264,0.432728671918434,0.7891231964483907,0.483,0.79,116,0.47
265,0.4326402102405832,0.7891231964483907,0.483,0.79,116,0.47
266,0.432621660941052,0.7891231964483907,0.483,0.79,116,0.47
267,0.4326427265852855,0.7880133185349611,0.483,0.8,116,0.47
268,0.4325947097433394,0.7891231964483907,0.483,0.79,116,0.47
269,0.43252031936761937,0.7891231964483907,0.483,0.79,116,0.47
270,0.4324967823385134,0.7880133185349611,0.483,0.8,116,0.47
271,0.43253566600903287,0.7880133185349611,0.483,0.79,116,0.47
272,0.43243849332073286,0.7891231964483907,0.483,0.79,116,0.47
273,0.43240560238951453,0.7891231964483907,0.483,0.81,116,0.47
274,0.43242294159402594,0.7880133185349611,0.484,0.8,116,0.47
275,0.4324580305292127,0.7880133185349611,0.483,0.8,116,0.47
276,0.4322487758710302,0.7880133185349611,0.483,0.8,116,0.47
277,0.43232930320150714,0.7880133185349611,0.484,0.79,116,0.47
278,0.4323165118280844,0.7880133185349611,0.483,0.8,116,0.47
279,0.43226415851669225,0.7880133185349611,0.483,0.8,116,0.47
280,0.43214422122024404,0.7891231964483907,0.483,0.8,116,0.47
281,0.4321612708940358,0.7880133185349611,0.483,0.8,116,0.47
282,0.4321737032917046,0.7880133185349611,0.483,0.8,116,0.47
