Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.7159269509776947,0.4910394265232975,0.668,0.6666666666666666,0,0.668
1,0.6803811957331969,0.5698924731182796,0.67,0.6333333333333333,0,0.668
2,0.6752159416034658,0.5663082437275986,0.654,0.6666666666666666,2,0.654
3,0.6669829363891301,0.5878136200716846,0.669,0.6,2,0.654
4,0.6636123249180428,0.5985663082437276,0.656,0.6,2,0.654
5,0.6576161017127362,0.6057347670250897,0.664,0.6333333333333333,2,0.654
6,0.6529020592303258,0.6093189964157706,0.669,0.5333333333333333,2,0.654
7,0.6486578859308715,0.6308243727598566,0.678,0.6,2,0.654
8,0.6439276303441721,0.6308243727598566,0.69,0.5666666666666667,2,0.654
9,0.6391458073397264,0.6308243727598566,0.704,0.6,2,0.654
10,0.6347766666002171,0.6344086021505376,0.717,0.6333333333333333,2,0.654
11,0.6320144587520203,0.6344086021505376,0.725,0.6,2,0.654
12,0.6280519199627702,0.6308243727598566,0.739,0.6,2,0.654
13,0.6265978682852987,0.6523297491039427,0.743,0.6,2,0.654
14,0.6230091369280251,0.6415770609318996,0.76,0.7,2,0.654
15,0.6219793620075377,0.6379928315412187,0.76,0.6666666666666666,2,0.654
16,0.6188773882431796,0.6236559139784946,0.782,0.7,2,0.654
17,0.6156540615584261,0.6379928315412187,0.792,0.6666666666666666,2,0.654
18,0.6131660833580946,0.6344086021505376,0.796,0.6333333333333333,2,0.654
19,0.6100597890047189,0.6379928315412187,0.811,0.7,2,0.654
20,0.6088654351918074,0.6487455197132617,0.812,0.6666666666666666,2,0.654
21,0.6055929150205359,0.6415770609318996,0.838,0.6666666666666666,2,0.654
22,0.6053359170968388,0.6344086021505376,0.837,0.7,2,0.654
23,0.6022687750905218,0.6523297491039427,0.844,0.6666666666666666,2,0.654
24,0.5997090066205644,0.6630824372759857,0.848,0.7,2,0.654
25,0.5989099392754202,0.6379928315412187,0.867,0.6333333333333333,2,0.654
